,ID,Name,Genre,Console,Rating,Global_Sales,VGChartz Score,Critic Score,Critic_Count,User Score,User_Count,Release Date
0,6963,Super Mario Galaxy,Platform,Wii,E,11.35,9.6,9.7,73.0,9.6,2147.0,12th Nov 07
1,35084,Super Mario Galaxy 2,Platform,Wii,E,7.51,9.6,9.7,87.0,9.8,1854.0,23rd May 10
2,6970,Metal Gear Solid 4: Guns of the Patriots,Action,PS3,M,5.99,9.5,9.3,82.0,9.8,3558.0,12th Jun 08
3,17684,World of Goo,Puzzle,PC,E,0.04,9.5,9.0,26.0,,607.0,21st Oct 08
4,12533,God of War III,Action,PS3,M,4.8,9.4,9.2,101.0,9.4,2633.0,16th Mar 10
5,7100,Shadow of the Colossus,Adventure,PS2,T,1.14,9.4,9.1,77.0,9.4,933.0,18th Oct 05
6,18897,Valkyria Chronicles,Role-Playing,PS3,T,1.27,9.4,8.4,60.0,9.8,433.0,04th Nov 08
7,22192,BioShock,Shooter,PS3,M,1.42,9.3,9.3,51.0,9.6,881.0,21st Oct 08
8,7023,BioShock,Shooter,X360,M,2.83,9.3,9.6,88.0,9.5,2249.0,21st Aug 07
9,24661,Grand Theft Auto: Chinatown Wars,Adventure,DS,M,1.32,9.3,9.5,85.0,9.6,280.0,17th Mar 09
10,17011,GRID,Racing,PS3,E,1.1,9.3,8.6,39.0,,109.0,03rd Jun 08
11,17012,GRID,Racing,X360,E,0.87,9.3,8.7,62.0,,131.0,03rd Jun 08
12,1339,Metroid Prime,Shooter,GC,T,2.82,9.3,9.6,70.0,9.5,747.0,17th Nov 02
13,34707,Metroid Prime: Trilogy,Shooter,Wii,T,0.61,9.3,9.0,48.0,9.6,316.0,24th Aug 09
14,24280,Rock Band 2,Misc,PS3,T,1.49,9.3,8.9,24.0,,88.0,19th Oct 08
15,24278,Rock Band 2,Misc,Wii,T,1.02,9.3,9.0,10.0,,45.0,18th Dec 08
16,24279,Rock Band 2,Misc,X360,T,2.2,9.3,9.2,69.0,,156.0,14th Sep 08
17,24780,Shin Megami Tensei: Persona 4,Role-Playing,PS2,M,0.82,9.3,9.2,47.0,,634.0,08th Dec 08
18,4573,The Legend of Zelda: Twilight Princess,Adventure,Wii,T,7.15,9.3,9.5,73.0,9.6,1658.0,19th Nov 06
19,16116,The World Ends With You,Role-Playing,DS,T,0.78,9.3,8.6,59.0,,283.0,21st Apr 08
20,13817,Alan Wake,Action,X360,T,1.33,9.2,8.3,100.0,,1156.0,18th May 10
21,33504,Dragon Age: Origins,Role-Playing,PC,M,0.51,9.2,9.1,67.0,,3542.0,03rd Nov 09
22,12390,LittleBigPlanet,Platform,PS3,E,5.82,9.2,9.4,85.0,9.2,5311.0,28th Oct 08
23,6962,Super Smash Bros. Brawl,Fighting,Wii,T,12.84,9.2,9.2,81.0,9.7,1662.0,09th Mar 08
24,6790,The Legend of Zelda: Phantom Hourglass,Adventure,DS,E,5.08,9.2,9.1,57.0,,416.0,02nd Oct 07
25,28733,Uncharted 2: Among Thieves,Action,PS3,T,6.66,9.2,9.5,105.0,9.6,5187.0,13th Oct 09
26,31493,Batman: Arkham Asylum,Action,PS3,T,4.23,9.1,9.0,70.0,,1122.0,25th Aug 09
27,25464,Bayonetta,Action,X360,M,0.93,9.1,8.9,86.0,9.5,597.0,05th Jan 10
