,ID,Game,Genre,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update
0,6963,Super Mario Galaxy    Read the review,Platform,Wii,Nintendo,Nintendo EAD Tokyo,9.6,9.7,9.6,12.80m,,,,,,12th Nov 07,
1,35084,Super Mario Galaxy 2    Read the review,Platform,Wii,Nintendo,Nintendo EAD Tokyo,9.6,9.7,9.8,7.41m,,,,,,23rd May 10,
2,228732,It Takes Two    Read the review,Action-Adventure,XS,Unknown,Hazelight,9.5,,,,,,,,,,15th Apr 21
3,28816,Mass Effect 2     Read the review,Role-Playing,PC,Electronic Arts,BioWare Corp.,9.5,9.6,,,0.39m,0.01m,0.32m,,0.05m,26th Jan 10,
4,28815,Mass Effect 2     Read the review,Role-Playing,X360,Electronic Arts,BioWare Edmonton,9.5,9.5,8.9,,3.10m,1.99m,0.81m,0.03m,0.27m,26th Jan 10,
5,6970,Metal Gear Solid 4: Guns of the Patriots    Read the review,Action,PS3,Konami,Kojima Productions,9.5,9.3,9.8,6.00m,,,,,,12th Jun 08,
6,17684,World of Goo    Read the review,Puzzle,PC,Take-Two Interactive,2D Boy,9.5,9.0,,,0.03m,,0.03m,,0.01m,21st Oct 08,
7,19606,World of Goo    Read the review,Puzzle,WW,2D Boy,2D Boy,9.5,9.2,,,,,,,,13th Oct 08,
8,12533,God of War III    Read the review,Action,PS3,Sony Computer Entertainment,SCEA Santa Monica Studio,9.4,9.2,9.4,7.60m,,,,,,16th Mar 10,
9,7100,Shadow of the Colossus    Read the review,Adventure,PS2,Sony Computer Entertainment,Team ICO,9.4,9.1,9.4,,1.14m,0.78m,0.03m,0.20m,0.13m,18th Oct 05,
10,18897,Valkyria Chronicles    Read the review,Role-Playing,PS3,Sega,Sega WOW Overworks,9.4,8.4,9.8,1.00m,,,,,,04th Nov 08,
11,22192,BioShock    Read the review,Shooter,PS3,2K Games,2K Boston / 2K Australia / 2K Marin,9.3,9.3,9.6,,1.44m,0.75m,0.48m,0.01m,0.21m,21st Oct 08,
