,Game,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,ID,Genre
0,Blaster Master Zero 2    Read the review,NS,Inti Creates,Inti Creates,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19th Mar 19,09th Mar 20,223960,Action
1,Blasters of the Universe    Read the review,PS4,Secret Location,Secret Location,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Feb 18,24th Feb 18,221162,Shooter
2,BlazBlue: Cross Tag Battle    Read the review,PS4,Arc System Works,Arc System Works,7.0,N/A,N/A,N/A,0.08m,0.04m,N/A,0.03m,0.01m,05th Jun 18,06th Jun 18,221185,Fighting
3,Bloodstained: Curse of the Moon     Read the review,NS,Inti Creates,Inti Creates,7.0,N/A,N/A,0.30m,N/A,N/A,N/A,N/A,N/A,24th May 18,05th Jun 18,222068,Platform
4,Broken Sword 5: The Serpent's Curse    Read the review,NS,Revolution Software,Revolution Software,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21st Sep 18,13th Aug 18,222629,Adventure
5,Carrion    Read the review,XOne,Devolver Digital,Phobia Game Studio,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23rd Jul 20,23rd May 20,226594,Action-Adventure
6,Castlevania Anniversary Collection    Read the review,NS,Konami,Konami,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16th May 19,14th May 19,223914,Action-Adventure
7,Cathedral    Read the review,NS,Unknown,Decemberborn Interactive,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Feb 21,228363,Action-Adventure
8,Children of Morta    Read the review,NS,11 bit studios,Dead Mage Studio,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15th Oct 19,10th Aug 19,225479,Role-Playing
9,Contra Anniversary Collection    Read the review,NS,Konami,Konami,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th Jun 19,13th Jun 19,223918,Action-Adventure
10,Cotton Reboot!    Read the review,NS,Unknown,Rocket-Engine,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26th Jun 21,229303,Shooter
11,Creature in the Well    Read the review,NS,Unknown,Flight School Studio,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04th Sep 19,225618,Action-Adventure
12,Dead Cells    Read the review,NS,Merge Games,Motion Twin,7.0,9.3,N/A,N/A,0.11m,0.08m,0.02m,N/A,0.01m,15th Aug 18,06th Aug 18,222077,Action
13,Death's Gambit: Afterlife    Read the review,NS,Unknown,White Rabbit,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th Oct 21,229777,Action-Adventure
14,Deathloop    Read the review,PC,Bethesda Softworks,Arkane Studios,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20,09th Jun 19,224975,Action
