,Genre,Console,Rating,Global_Sales,Critic_Count,User_Count,Release Date,Score
0,Platform,Wii,E,11350.0,73.0,2147.0,6,9.633333333333333
1,Platform,Wii,E,7510.0,87.0,1854.0,9,9.7
2,Action,PS3,M,5990.0,82.0,3558.0,7,9.533333333333331
3,Puzzle,PC,E,40.0,26.0,607.0,7,9.25
4,Action,PS3,M,4800.0,101.0,2633.0,9,9.333333333333334
5,Adventure,PS2,T,1140.0,77.0,933.0,4,9.3
6,Role-Playing,PS3,T,1270.0,60.0,433.0,7,9.2
7,Shooter,PS3,M,1420.0,51.0,881.0,7,9.4
8,Shooter,X360,M,2830.0,88.0,2249.0,6,9.466666666666669
9,Adventure,DS,M,1320.0,85.0,280.0,8,9.466666666666669
10,Racing,PS3,E,1100.0,39.0,109.0,7,8.95
11,Racing,X360,E,870.0,62.0,131.0,7,9.0
12,Shooter,GC,T,2820.0,70.0,747.0,1,9.466666666666669
13,Shooter,Wii,T,610.0,48.0,316.0,8,9.3
14,Misc,PS3,T,1490.0,24.0,88.0,7,9.1
15,Misc,Wii,T,1020.0,10.0,45.0,7,9.15
16,Misc,X360,T,2200.0,69.0,156.0,7,9.25
17,Role-Playing,PS2,M,820.0,47.0,634.0,7,9.25
18,Adventure,Wii,T,7150.0,73.0,1658.0,5,9.466666666666669
19,Role-Playing,DS,T,780.0,59.0,283.0,7,8.95
20,Action,X360,T,1330.0,100.0,1156.0,9,8.75
21,Role-Playing,PC,M,510.0,67.0,3542.0,8,9.15
22,Platform,PS3,E,5820.0,85.0,5311.0,7,9.266666666666667
23,Fighting,Wii,T,12840.0,81.0,1662.0,7,9.366666666666664
24,Adventure,DS,E,5080.0,57.0,416.0,6,9.15
25,Action,PS3,T,6660.0,105.0,5187.0,8,9.433333333333332
26,Action,PS3,T,4230.0,70.0,1122.0,8,9.05
27,Action,X360,M,930.0,86.0,597.0,9,9.166666666666666
28,Shooter,PS3,M,1540.0,62.0,492.0,9,8.8
29,Shooter,X360,M,2200.0,93.0,573.0,9,8.85
30,Racing,X360,T,720.0,81.0,166.0,10,9.1
31,Adventure,PS3,M,3030.0,107.0,2759.0,9,8.833333333333334
32,Shooter,PS3,M,3010.0,94.0,1505.0,8,9.166666666666666
33,Role-Playing,Wii,T,2220.0,70.0,219.0,9,9.066666666666666
34,Platform,Wii,E,28320.0,80.0,594.0,8,8.966666666666667
35,Action,PS3,M,6490.0,73.0,2456.0,10,9.3
36,Action,X360,M,6320.0,96.0,2316.0,9,9.533333333333331
37,Misc,PS3,T,1620.0,35.0,107.0,6,9.1
38,Misc,X360,T,2470.0,72.0,178.0,6,9.1
39,Fighting,PS3,T,4160.0,61.0,330.0,8,9.133333333333333
40,Fighting,X360,T,2940.0,77.0,292.0,8,9.233333333333333
41,Role-Playing,PC,M,320.0,30.0,1660.0,7,8.7
42,Action,PS3,M,5550.0,70.0,1202.0,8,9.0
43,Action,X360,M,5260.0,82.0,1305.0,8,9.05
44,Action,X360,T,3480.0,78.0,1080.0,8,9.05
45,Shooter,PS3,M,10600.0,67.0,2073.0,8,9.25
46,Shooter,X360,M,13470.0,100.0,2698.0,8,9.166666666666666
47,Misc,DS,E10+,360.0,51.0,105.0,5,8.7
48,Sports,PS3,E,3620.0,56.0,203.0,8,9.0
49,Sports,X360,E,2620.0,63.0,133.0,8,8.95
50,Role-Playing,DS,E10+,1210.0,52.0,164.0,7,8.833333333333334
51,Role-Playing,PS3,T,5330.0,83.0,2483.0,9,8.733333333333333
52,Role-Playing,X360,T,2160.0,54.0,539.0,9,8.55
53,Shooter,X360,M,6750.0,90.0,2739.0,7,9.3
54,Action,PS3,M,2600.0,50.0,529.0,8,9.1
55,Action,PS3,M,10500.0,64.0,2833.0,7,9.333333333333334
56,Action,X360,M,11010.0,86.0,2951.0,7,9.5
57,Role-Playing,PSP,T,330.0,45.0,74.0,6,8.7
58,Platform,DS,E,2920.0,40.0,76.0,7,8.15
59,Shooter,PC,M,360.0,55.0,2530.0,8,9.0
60,Shooter,X360,M,3970.0,76.0,681.0,8,9.0
61,Adventure,DS,E10+,3940.0,65.0,72.0,8,8.75
62,Misc,PS3,T,1120.0,60.0,59.0,8,8.85
63,Misc,Wii,T,1710.0,25.0,43.0,8,9.0
64,Misc,X360,T,1300.0,76.0,127.0,8,8.95
65,Adventure,DS,E10+,3310.0,75.0,228.0,8,8.85
66,Fighting,PSP,T,2230.0,61.0,139.0,8,9.0
67,Shooter,X360,M,3510.0,67.0,1309.0,7,8.866666666666667
68,Action,Wii,M,390.0,68.0,184.0,9,8.7
69,Strategy,PSP,E,120.0,27.0,32.0,9,8.8
70,Music,DS,E,3110.0,48.0,63.0,8,8.7
71,Adventure,Wii,M,470.0,56.0,226.0,8,7.666666666666667
72,Strategy,PC,T,4840.0,82.0,3052.0,9,9.1
73,Platform,GC,E,6310.0,61.0,439.0,1,9.05
74,Shooter,PC,M,720.0,46.0,1467.0,9,8.8
75,Shooter,PS3,M,5390.0,45.0,409.0,7,8.600000000000001
76,Shooter,X360,M,7380.0,84.0,580.0,7,8.366666666666667
77,Role-Playing,DS,E10+,1340.0,57.0,440.0,7,9.0
78,Role-Playing,PSP,T,250.0,33.0,47.0,8,8.45
79,Shooter,X360,M,6090.0,88.0,2295.0,5,9.2
80,Shooter,X360,M,12120.0,86.0,4100.0,6,9.3
81,Adventure,PS2,T,470.0,59.0,328.0,0,8.8
82,Strategy,Wii,T,290.0,50.0,86.0,8,8.766666666666667
83,Sports,PS3,E,610.0,30.0,37.0,7,8.55
84,Action,PS3,M,850.0,52.0,115.0,8,8.65
85,Puzzle,DS,E10+,2160.0,72.0,110.0,8,8.5
86,Role-Playing,X360,T,740.0,67.0,264.0,7,8.7
87,Role-Playing,PS3,M,3100.0,45.0,604.0,6,9.05
88,Role-Playing,X360,M,4380.0,90.0,1109.0,8,9.0
89,Simulation,PC,T,8010.0,75.0,886.0,8,8.65
90,Sports,Wii,E,1070.0,44.0,57.0,8,8.9
91,Sports,Wii,E,32770.0,73.0,192.0,8,8.533333333333333
92,Strategy,DS,E10+,610.0,55.0,96.0,7,8.55
93,Strategy,DS,E10+,210.0,28.0,20.0,7,8.45
94,Platform,PC,E10+,30.0,11.0,819.0,8,8.75
95,Shooter,Wii,M,470.0,76.0,82.0,8,8.45
96,Role-Playing,PS3,M,1820.0,81.0,1441.0,8,9.1
97,Role-Playing,PSP,T,1160.0,41.0,238.0,6,8.8
98,Action,Wii,M,770.0,74.0,176.0,8,8.299999999999999
99,Racing,Wii,E,35520.0,73.0,709.0,7,8.666666666666666
100,Role-Playing,PC,M,670.0,45.0,2386.0,7,8.899999999999999
101,Racing,PS3,T,1350.0,63.0,318.0,7,8.466666666666667
102,Shooter,PS3,M,2460.0,79.0,1889.0,7,8.633333333333333
103,Strategy,PS3,E10+,780.0,39.0,87.0,7,8.55
104,Action,PS3,T,4920.0,66.0,2306.0,6,8.666666666666666
105,Shooter,PS3,M,670.0,42.0,127.0,6,8.649999999999999
106,Fighting,X360,T,280.0,36.0,62.0,6,8.95
107,Shooter,PS3,M,2090.0,58.0,427.0,8,8.399999999999999
108,Shooter,X360,M,3440.0,83.0,715.0,8,8.45
109,Role-Playing,DS,E10+,1370.0,44.0,60.0,6,8.399999999999999
110,Strategy,DS,E10+,610.0,42.0,106.0,8,8.399999999999999
111,Sports,PS3,E,2370.0,41.0,58.0,8,8.55
112,Sports,X360,E,2830.0,58.0,90.0,8,8.6
113,Role-Playing,Wii,T,600.0,58.0,101.0,8,8.633333333333335
114,Racing,PS3,E,2650.0,55.0,113.0,8,8.399999999999999
115,Racing,X360,E,1910.0,75.0,134.0,8,8.399999999999999
116,Sports,PS3,E10+,570.0,35.0,40.0,8,8.85
117,Sports,X360,E10+,660.0,52.0,71.0,8,8.85
118,Role-Playing,Wii,E10+,370.0,34.0,39.0,8,8.25
119,Shooter,DS,E,150.0,41.0,16.0,7,8.45
120,Adventure,PS3,M,1120.0,77.0,165.0,9,8.25
121,Puzzle,Wii,E,1210.0,61.0,105.0,7,8.666666666666666
122,Role-Playing,PSP,T,3180.0,67.0,463.0,7,8.533333333333333
123,Racing,PS3,T,990.0,63.0,94.0,8,8.65
124,Racing,X360,T,800.0,65.0,110.0,8,8.65
125,Role-Playing,PS3,M,1670.0,41.0,597.0,8,8.6
126,Racing,Wii,E,260.0,29.0,26.0,8,8.1
127,Role-Playing,X360,M,4270.0,95.0,2423.0,7,8.933333333333334
128,Role-Playing,PSP,E10+,180.0,41.0,38.0,8,8.5
129,Role-Playing,DS,E10+,1980.0,53.0,162.0,8,8.0
130,Role-Playing,X360,M,2910.0,74.0,1692.0,6,8.933333333333332
131,Sports,PS3,E,720.0,27.0,61.0,8,8.7
132,Racing,PS3,T,3870.0,9.0,220.0,6,8.35
133,Platform,PSP,E,810.0,60.0,102.0,7,8.6
134,Puzzle,DS,E,490.0,35.0,33.0,9,8.6
135,Shooter,PS3,M,4340.0,70.0,715.0,5,8.700000000000001
136,Sports,Wii,E10+,1660.0,28.0,22.0,7,8.15
137,Role-Playing,PS2,M,130.0,23.0,26.0,8,8.25
138,Strategy,DS,E10+,440.0,26.0,21.0,7,8.1
139,Simulation,PC,T,40.0,62.0,131.0,4,8.35
140,Adventure,DS,T,700.0,51.0,79.0,9,8.05
141,Action,PS3,M,1210.0,54.0,355.0,9,8.066666666666666
142,Shooter,Wii,M,1940.0,19.0,78.0,7,8.466666666666667
143,Shooter,PC,M,590.0,28.0,1093.0,7,8.600000000000001
144,Shooter,PS3,M,2000.0,67.0,545.0,7,8.65
