,Title,Year,Genre,Rating,Director,Votes
0,Wiedzmin 3: Dziki Gon Krew i wino,2016.0,"['Action', 'Adventure', 'Crime']",9.8,Konrad Tomaszkiewicz,6717
1,Red Dead Redemption II,2018.0,"['Action', 'Adventure', 'Crime']",9.7,Benjamin Byron Davis,27856
2,Wiedzmin 3: Dziki Gon,2015.0,"['Action', 'Adventure', 'Drama']",9.7,Konrad Tomaszkiewicz,22753
3,The Last of Us,2013.0,"['Action', 'Adventure', 'Drama']",9.7,Neil Druckmann,55087
4,Mass Effect: Legendary Edition,2021.0,['Sci-Fi'],9.7,Casey Hudson,547
5,God of War,2018.0,"['Action', 'Adventure', 'Drama']",9.6,Cory Barlog,20818
6,Perusona 5: Za roiyaru,2019.0,"['Action', 'Adventure', 'Fantasy']",9.6,Daiki Itô,747
7,Zeruda no densetsu: Toki no okarina,1998.0,"['Action', 'Adventure', 'Fantasy']",9.6,Eiji Aonuma,8916
8,Metal Gear Solid,1998.0,"['Action', 'Adventure', 'Drama']",9.6,Hideo Kojima,11272
9,Wiedzmin 3: Dziki Gon - Serca z kamienia,2015.0,"['Action', 'Adventure', 'Crime']",9.5,Konrad Tomaszkiewicz,5614
10,Uncharted 4: A Thief's End,2016.0,"['Action', 'Adventure', 'Drama']",9.5,Neil Druckmann,24505
11,Grand Theft Auto V,2013.0,"['Action', 'Adventure', 'Comedy']",9.5,Shawn Fonteno,54957
12,Mass Effect 2,2010.0,"['Action', 'Adventure', 'Sci-Fi']",9.5,Casey Hudson,18955
13,Half-Life: Alyx,2020.0,"['Action', 'Adventure', 'Horror']",9.5,Ozioma Akagha,531
14,Metal Gear Solid 3: Subsistence,2005.0,"['Action', 'Adventure', 'Drama']",9.5,Hideo Kojima,2408
15,Metal Gear Solid 3: Snake Eater,2004.0,"['Action', 'Adventure', 'Drama']",9.5,Hideo Kojima,10053
16,Star Wars: Knights of the Old Republic,2003.0,"['Action', 'Adventure', 'Fantasy']",9.5,Casey Hudson,8114
17,Chrono Trigger,1995.0,"['Action', 'Adventure', 'Comedy']",9.5,Yoshinori Kitase,2831
18,Fainaru fantajî VII,1997.0,"['Action', 'Adventure', 'Fantasy']",9.5,Yoshinori Kitase,9398
19,Uncharted: The Nathan Drake Collection,2015.0,"['Action', 'Adventure', 'Fantasy']",9.4,Amy Hennig,4563
20,Bloodborne: The Old Hunters,2015.0,"['Action', 'Adventure', 'Fantasy']",9.4,Hidetaka Miyazaki,1174
21,Zeruda no densetsu: Buresu obu za wairudo,2017.0,"['Action', 'Adventure', 'Fantasy']",9.4,Hidemaro Fujibayashi,5749
22,The Elder Scrolls V: Skyrim,2011.0,"['Action', 'Adventure', 'Fantasy']",9.4,Todd Howard,27617
23,Portal 2,2011.0,"['Action', 'Adventure', 'Comedy']",9.4,Ellen McLain,14469
24,Batman: Arkham City,2011.0,"['Action', 'Adventure', 'Crime']",9.4,Sefton Hill,28484
25,Mass Effect 3: Citadel,2013.0,"['Action', 'Adventure', 'Sci-Fi']",9.4,Casey Hudson,8
26,Red Dead Redemption,2010.0,"['Action', 'Adventure', 'Crime']",9.4,Rob Wiethoff,24924
27,Uncharted 2: Among Thieves,2009.0,"['Action', 'Adventure', 'Fantasy']",9.4,Amy Hennig,22701
28,Grand Theft Auto Trilogy,2005.0,"['Action', 'Adventure', 'Crime']",9.4,William Fichtner,10
